fullVisitorId,visitId,date,hitNumber,productSKU,productPrice,transactionId,transactionRevenue,transactionShipping,transactionTax,currencyCode
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0313,31990000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0358,44790000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0359,44790000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0362,41590000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0568,87990000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0592,55990000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0593,55990000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0598,79190000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0595,59990000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0596,59990000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0597,59990000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:15:00.000+0000,2,GGOEGAAX0571,87990000,null,null,null,null,USD
5162435414990636261,1494216917,2017-05-07T21:16:00.000+0000,3,GGOEGAAX0358,44790000,null,null,null,null,null
5162435414990636261,1494216917,2017-05-07T21:16:00.000+0000,4,GGOEGAAX0358,44790000,null,null,null,null,null
5162435414990636261,1494216917,2017-05-07T21:16:00.000+0000,5,GGOEGAAX0358,44790000,null,null,null,null,null
5162435414990636261,1494216917,2017-05-07T21:16:00.000+0000,6,GGOEGAAX0358,44790000,null,null,null,null,null
5162435414990636261,1494216917,2017-05-07T21:16:00.000+0000,7,GGOEGAAX0358,44790000,null,null,null,null,null
5162435414990636261,1494216917,2017-05-07T21:16:00.000+0000,8,GGOEGAAX0358,44790000,null,null,null,null,null
5162435414990636261,1494216917,2017-05-07T21:16:00.000+0000,9,GGOEGAAX0358,44790000,null,null,null,null,null
